nama_pegawai,nip,pangkat,golongan,jabatan,sub_seksi,email,password,role
Budi Admin,198001012005011001,III/d,III,Admin Sistem,TU,admin@bphl.go.id,password123,admin
Ir. Santoso Kepala,197005051998031002,IV/e,IV,Kepala Balai,Balai,kepala@bphl.go.id,password123,kepala_balai
Siti Aminah TU,197508082000122003,IV/a,IV,Kepala Sub Bagian TU,TU,tu@bphl.go.id,password123,kepala_tu
Dr. Hendra Seksi 1,198203032008011004,IV/a,IV,Kepala Seksi PEPHPHL,PEPHPHL,pephphl@bphl.go.id,password123,kepala_seksi_pephphl
Ir. Rini Seksi 2,198304042009022005,IV/a,IV,Kepala Seksi PPPHPHL,PPPHPHL,ppphphl@bphl.go.id,password123,kepala_seksi_ppphphl
Ahmad Verifikator,199001012015031006,III/c,III,Verifikator Dokumen,TU,verifikator1@bphl.go.id,password123,verifikator
Dewi Verifikator,199202022018042007,III/a,III,Verifikator Keuangan,TU,verifikator2@bphl.go.id,password123,verifikator
Joko Pegawai,199505052020121008,II/c,II,Staf Pelaksana,PEPHPHL,pegawai1@bphl.go.id,password123,user
Lina Pegawai,199606062021112009,II/c,II,Staf Pelaksana,PPPHPHL,pegawai2@bphl.go.id,password123,user

